UP,FAZENDA,AREA_HA,NÚCLEO,x,y
C1AA,SAGRADA FAMILIA (I),"72,484299",CS1,"-53,548162","-20,347363"
C1AB,CHACARA INVEJADO (I),"191,556034",CS1,"-53,697964","-20,472653"
C1AC,KLEBER (I),"282,150942",CS1,"-53,557801","-20,343833"
C1AD,ACAPU (I),"345,245698",CS1,"-53,763437","-20,100274"
C1AE,ESPINGARDA - MATEIRA (I),"636,906022",CS1,"-53,839955","-20,347236"
C1AF,BOM JARDIM (I),"689,636318",CS1,"-53,216439","-20,397572"
C1AG,ESPINGARDA II (I),"902,915206",CS1,"-53,531191","-20,333386"
C1AH,LEOPOLDINA (I),"1751,972828",CS1,"-53,676919","-20,190839"
C1AI,SANTA CLARA (I),"2250,899848",CS1,"-53,532169","-20,17497"
C1AJ,IPYTÁ (I),"2321,859669",CS1,"-53,719754","-20,114111"
C1AK,IPUÃ (I),"2414,215212",CS1,"-53,746911","-20,135378"
C1AL,SÃO MIGUEL (I),"2442,605033",CS1,"-53,687967","-20,155111"
C1AM,LCD (I),"2574,161792",CS1,"-53,674848","-20,229998"
C1AN,SÃO CARLOS (I),"4088,483114",CS1,"-53,629708","-20,184955"
C1AO,ESPINGARDA - MAMPEI (I),"5293,210404",CS1,"-53,655118","-20,388595"
C1AP,BOI PRETO (I),"17460,57606",CS1,"-53,567089","-20,442891"
C1AS,GUARANI (I),"2756,213646",CS1,"-53,573179","-20,040791"
C1AT,GRANOL -  MODELO I (I),"2616,615422",CS1,"-53,644462","-20,057486"
C1AU,RETIRO BELO HORIZONTE (I),"1256,332701",CS1,"-53,395751","-20,165526"
C1AV,AURORA (I),"845,419369",CS1,"-53,565128","-20,27931"
C1AW,RAINHA DA PAZ (I),"2005,619908",CS1,"-53,553941","-20,312304"
C1AX,LAGEADO (I),"1148,749816",CS1,"-53,521304","-20,379295"
C1AY,BOM PASTOR (I),"125,882307",CS1,"-53,543056","-20,392712"
C1AZ,LAGOA COMPRIDA (I),"1075,2468",CS1,"-53,223759","-20,428441"
C1BA,CAMPO LIMPO (I),"1931,160946",CS1,"-53,55698","-20,167133"
C1BB,CHACRINHAS BONANZA (I),"48,18207",CS1,"-53,698512","-20,492593"
C1BC,PENA ROJA (I),"6471,689525",CS1,"-53,650606","-19,950601"
C1BD,LALUVI (I),"633,563508",CS1,"-53,573343","-20,008953"
